Cell ID,Label 1,Label 2,Label 3,Probability 1,Probability 2,Probability 3,Test Accuracy,Test Loss
1023,cluster_1,cluster_6,cluster_4,0.12010922,0.10272602,0.10018494,0.16488486528396606,2.9004340171813965
10310,cluster_2,cluster_1,cluster_11,0.23012738,0.13016966,0.07588562,0.16488486528396606,2.9004340171813965
10367,cluster_2,cluster_1,cluster_4,0.14597717,0.10478952,0.08691357,0.16488486528396606,2.9004340171813965
10379,cluster_2,cluster_4,cluster_1,0.1263104,0.117183544,0.09532779,0.16488486528396606,2.9004340171813965
10397,cluster_2,cluster_1,cluster_4,0.13303055,0.10306764,0.09475904,0.16488486528396606,2.9004340171813965
10445,cluster_2,cluster_1,cluster_4,0.1621195,0.10177938,0.08778086,0.16488486528396606,2.9004340171813965
10456,cluster_2,cluster_4,cluster_1,0.12405704,0.10913183,0.08730078,0.16488486528396606,2.9004340171813965
10479,cluster_13,cluster_17,cluster_4,0.15862206,0.08061922,0.07046118,0.16488486528396606,2.9004340171813965
10486,cluster_1,cluster_2,cluster_6,0.11800355,0.10538481,0.094885185,0.16488486528396606,2.9004340171813965
10563,cluster_2,cluster_1,cluster_5,0.19250488,0.13620612,0.05540304,0.16488486528396606,2.9004340171813965
10604,cluster_2,cluster_1,cluster_4,0.2015507,0.0986811,0.07686279,0.16488486528396606,2.9004340171813965
10766,cluster_3,cluster_6,cluster_1,0.22410609,0.09314091,0.09275422,0.16488486528396606,2.9004340171813965
10843,cluster_28,cluster_9,cluster_14,0.40722162,0.33482572,0.051509168,0.16488486528396606,2.9004340171813965
10911,cluster_9,cluster_1,cluster_5,0.36529937,0.10842496,0.07472375,0.16488486528396606,2.9004340171813965
10915,cluster_3,cluster_5,cluster_9,0.2338642,0.15502486,0.12773582,0.16488486528396606,2.9004340171813965
10926,cluster_3,cluster_5,cluster_1,0.23113841,0.1332753,0.10361063,0.16488486528396606,2.9004340171813965
10943,cluster_3,cluster_5,cluster_9,0.35138693,0.149309,0.11741257,0.16488486528396606,2.9004340171813965
1098,cluster_2,cluster_9,cluster_1,0.21202685,0.11987985,0.10682695,0.16488486528396606,2.9004340171813965
11137,cluster_2,cluster_1,cluster_9,0.15423611,0.11667849,0.10492449,0.16488486528396606,2.9004340171813965
