Cell ID,Label 1,Label 2,Label 3,Probability 1,Probability 2,Probability 3,Test Accuracy,Test Loss
1023,cluster_3,cluster_1,cluster_5,0.17358771,0.14599721,0.103002675,0.1769462674856186,2.9246490001678467
10310,cluster_1,cluster_5,cluster_15,0.2893617,0.094425656,0.07431767,0.1769462674856186,2.9246490001678467
10367,cluster_19,cluster_1,cluster_9,0.11389566,0.11204616,0.10302046,0.1769462674856186,2.9246490001678467
10379,cluster_1,cluster_5,cluster_15,0.18990365,0.14006138,0.13208282,0.1769462674856186,2.9246490001678467
10397,cluster_5,cluster_9,cluster_1,0.14792036,0.10784091,0.08122304,0.1769462674856186,2.9246490001678467
10445,cluster_3,cluster_1,cluster_15,0.2411574,0.14812788,0.08050266,0.1769462674856186,2.9246490001678467
10456,cluster_3,cluster_4,cluster_16,0.13396868,0.11393893,0.10347884,0.1769462674856186,2.9246490001678467
10479,cluster_5,cluster_10,cluster_3,0.17597632,0.15782067,0.15464903,0.1769462674856186,2.9246490001678467
10486,cluster_3,cluster_10,cluster_1,0.2903535,0.102355406,0.09108615,0.1769462674856186,2.9246490001678467
10563,cluster_9,cluster_1,cluster_19,0.21209489,0.10796303,0.106792934,0.1769462674856186,2.9246490001678467
10604,cluster_5,cluster_1,cluster_3,0.18833496,0.16377196,0.115433946,0.1769462674856186,2.9246490001678467
10766,cluster_3,cluster_8,cluster_10,0.15759887,0.15180969,0.11390073,0.1769462674856186,2.9246490001678467
10843,cluster_28,cluster_9,cluster_18,0.6787589,0.25340652,0.020587109,0.1769462674856186,2.9246490001678467
10911,cluster_9,cluster_1,cluster_15,0.27226594,0.13544835,0.108625315,0.1769462674856186,2.9246490001678467
10915,cluster_9,cluster_5,cluster_1,0.2060682,0.15371518,0.14334331,0.1769462674856186,2.9246490001678467
10926,cluster_3,cluster_5,cluster_15,0.30166095,0.25375414,0.13271403,0.1769462674856186,2.9246490001678467
10943,cluster_9,cluster_5,cluster_3,0.18907449,0.16038668,0.12711366,0.1769462674856186,2.9246490001678467
1098,cluster_1,cluster_15,cluster_9,0.1148711,0.09731471,0.07978845,0.1769462674856186,2.9246490001678467
11137,cluster_2,cluster_1,cluster_9,0.14324431,0.11326487,0.10406965,0.1769462674856186,2.9246490001678467
11147,cluster_1,cluster_2,cluster_15,0.25621986,0.20079286,0.09675947,0.1769462674856186,2.9246490001678467
11189,cluster_11,cluster_2,cluster_1,0.24933581,0.23211847,0.15664534,0.1769462674856186,2.9246490001678467
11237,cluster_2,cluster_1,cluster_4,0.23382063,0.19987197,0.0527569,0.1769462674856186,2.9246490001678467
11268,cluster_10,cluster_8,cluster_1,0.18999946,0.13967457,0.096811414,0.1769462674856186,2.9246490001678467
11271,cluster_1,cluster_14,cluster_4,0.14516714,0.084639944,0.07308199,0.1769462674856186,2.9246490001678467
11372,cluster_1,cluster_10,cluster_15,0.1610259,0.10526486,0.084121704,0.1769462674856186,2.9246490001678467
11425,cluster_2,cluster_1,cluster_15,0.23331422,0.13304403,0.08615498,0.1769462674856186,2.9246490001678467
11429,cluster_1,cluster_2,cluster_11,0.1734596,0.14425538,0.10364247,0.1769462674856186,2.9246490001678467
11476,cluster_15,cluster_1,cluster_2,0.2293965,0.12077611,0.09176245,0.1769462674856186,2.9246490001678467
11527,cluster_9,cluster_1,cluster_5,0.23551692,0.11115939,0.08573526,0.1769462674856186,2.9246490001678467
1157,cluster_1,cluster_10,cluster_5,0.18189782,0.10380503,0.102042764,0.1769462674856186,2.9246490001678467
11611,cluster_7,cluster_11,cluster_15,0.38412008,0.1587082,0.0769732,0.1769462674856186,2.9246490001678467
11755,cluster_1,cluster_4,cluster_10,0.13126074,0.10358124,0.086574666,0.1769462674856186,2.9246490001678467
11936,cluster_1,cluster_2,cluster_10,0.17013532,0.10372202,0.09898362,0.1769462674856186,2.9246490001678467
11955,cluster_1,cluster_10,cluster_5,0.1782507,0.15858173,0.08038463,0.1769462674856186,2.9246490001678467
1198,cluster_1,cluster_2,cluster_15,0.35989448,0.11483285,0.07512111,0.1769462674856186,2.9246490001678467
11994,cluster_1,cluster_11,cluster_5,0.13288279,0.096554905,0.09495409,0.1769462674856186,2.9246490001678467
11999,cluster_15,cluster_1,cluster_8,0.16569301,0.16320513,0.123500265,0.1769462674856186,2.9246490001678467
12053,cluster_8,cluster_10,cluster_15,0.1827158,0.10894984,0.105991386,0.1769462674856186,2.9246490001678467
1213,cluster_3,cluster_5,cluster_10,0.15414923,0.1268322,0.12010776,0.1769462674856186,2.9246490001678467
1215,cluster_1,cluster_16,cluster_6,0.15782829,0.10171253,0.097061515,0.1769462674856186,2.9246490001678467
12223,cluster_9,cluster_1,cluster_10,0.2735822,0.10396689,0.079104386,0.1769462674856186,2.9246490001678467
12240,cluster_2,cluster_11,cluster_1,0.11915661,0.11606041,0.09368972,0.1769462674856186,2.9246490001678467
