Cell ID,Label 1,Label 2,Label 3,Probability 1,Probability 2,Probability 3,Test Accuracy,Test Loss
1023,cluster_2,cluster_1,cluster_4,0.117481396,0.095164955,0.077566534,0.15254934132099152,2.930070400238037
10310,cluster_1,cluster_2,cluster_4,0.11338397,0.10223207,0.0758036,0.15254934132099152,2.930070400238037
10367,cluster_2,cluster_4,cluster_1,0.12999968,0.10734028,0.09110992,0.15254934132099152,2.930070400238037
10379,cluster_1,cluster_2,cluster_3,0.10246572,0.09875293,0.08836654,0.15254934132099152,2.930070400238037
10397,cluster_3,cluster_1,cluster_4,0.10700895,0.09034894,0.084459946,0.15254934132099152,2.930070400238037
10445,cluster_3,cluster_1,cluster_4,0.09953337,0.09017742,0.08849278,0.15254934132099152,2.930070400238037
10456,cluster_1,cluster_4,cluster_3,0.094761156,0.09466114,0.09351387,0.15254934132099152,2.930070400238037
10479,cluster_17,cluster_2,cluster_9,0.1462967,0.10826121,0.079048984,0.15254934132099152,2.930070400238037
10486,cluster_3,cluster_1,cluster_2,0.113340795,0.1049779,0.07501599,0.15254934132099152,2.930070400238037
10563,cluster_1,cluster_2,cluster_3,0.111822926,0.09474008,0.08551737,0.15254934132099152,2.930070400238037
10604,cluster_2,cluster_3,cluster_1,0.0990924,0.09469601,0.09437952,0.15254934132099152,2.930070400238037
10766,cluster_4,cluster_3,cluster_1,0.10902339,0.08619191,0.086126566,0.15254934132099152,2.930070400238037
10843,cluster_28,cluster_9,cluster_14,0.4543338,0.334153,0.08128715,0.15254934132099152,2.930070400238037
10911,cluster_9,cluster_19,cluster_2,0.40389895,0.11029998,0.07899098,0.15254934132099152,2.930070400238037
10915,cluster_9,cluster_19,cluster_1,0.48876658,0.10148343,0.06699784,0.15254934132099152,2.930070400238037
10926,cluster_3,cluster_1,cluster_4,0.0937839,0.0864519,0.08148947,0.15254934132099152,2.930070400238037
10943,cluster_3,cluster_1,cluster_5,0.19940493,0.09515343,0.0765876,0.15254934132099152,2.930070400238037
1098,cluster_2,cluster_1,cluster_9,0.1792411,0.11779024,0.060820527,0.15254934132099152,2.930070400238037
11137,cluster_2,cluster_9,cluster_1,0.13280307,0.11626102,0.104864076,0.15254934132099152,2.930070400238037
11147,cluster_2,cluster_1,cluster_4,0.18398952,0.10964778,0.06563242,0.15254934132099152,2.930070400238037
11189,cluster_2,cluster_1,cluster_6,0.1765262,0.13018593,0.06165866,0.15254934132099152,2.930070400238037
11237,cluster_2,cluster_1,cluster_11,0.19925597,0.106099255,0.064266734,0.15254934132099152,2.930070400238037
11268,cluster_8,cluster_12,cluster_1,0.11992942,0.106796,0.07598347,0.15254934132099152,2.930070400238037
11271,cluster_1,cluster_3,cluster_2,0.11376568,0.10214643,0.095790304,0.15254934132099152,2.930070400238037
11372,cluster_1,cluster_2,cluster_4,0.098867625,0.09414856,0.07516711,0.15254934132099152,2.930070400238037
11425,cluster_2,cluster_1,cluster_4,0.19981897,0.1107968,0.06057877,0.15254934132099152,2.930070400238037
11429,cluster_2,cluster_1,cluster_14,0.18307078,0.1304538,0.08198317,0.15254934132099152,2.930070400238037
11476,cluster_3,cluster_1,cluster_8,0.15367076,0.09794559,0.09786216,0.15254934132099152,2.930070400238037
11527,cluster_2,cluster_9,cluster_1,0.19664577,0.12313057,0.07643764,0.15254934132099152,2.930070400238037
1157,cluster_3,cluster_1,cluster_5,0.11122183,0.09982496,0.073829815,0.15254934132099152,2.930070400238037
11611,cluster_13,cluster_7,cluster_12,0.21741414,0.20806724,0.1656358,0.15254934132099152,2.930070400238037
11755,cluster_2,cluster_1,cluster_4,0.20111923,0.10090504,0.07204977,0.15254934132099152,2.930070400238037
11936,cluster_1,cluster_3,cluster_2,0.10824746,0.08969665,0.08924827,0.15254934132099152,2.930070400238037
11955,cluster_2,cluster_4,cluster_1,0.21360159,0.0919314,0.08588476,0.15254934132099152,2.930070400238037
1198,cluster_2,cluster_1,cluster_4,0.20123936,0.11286909,0.057945862,0.15254934132099152,2.930070400238037
11994,cluster_1,cluster_4,cluster_3,0.098843545,0.08986695,0.08526982,0.15254934132099152,2.930070400238037
11999,cluster_3,cluster_1,cluster_4,0.1239938,0.098431766,0.08730016,0.15254934132099152,2.930070400238037
12053,cluster_13,cluster_12,cluster_17,0.28922203,0.18944663,0.096391834,0.15254934132099152,2.930070400238037
1213,cluster_3,cluster_1,cluster_2,0.09577821,0.094987534,0.09273623,0.15254934132099152,2.930070400238037
1215,cluster_2,cluster_1,cluster_4,0.14702651,0.10707005,0.076117516,0.15254934132099152,2.930070400238037
12223,cluster_13,cluster_12,cluster_17,0.1967034,0.14728759,0.122373946,0.15254934132099152,2.930070400238037
12240,cluster_1,cluster_3,cluster_5,0.112599805,0.1046479,0.077897474,0.15254934132099152,2.930070400238037
12338,cluster_2,cluster_1,cluster_4,0.14791565,0.11086628,0.08049555,0.15254934132099152,2.930070400238037
1247,cluster_1,cluster_2,cluster_14,0.13342668,0.13305436,0.07361403,0.15254934132099152,2.930070400238037
12493,cluster_4,cluster_2,cluster_1,0.10187643,0.09753385,0.09466246,0.15254934132099152,2.930070400238037
12506,cluster_2,cluster_1,cluster_4,0.15722933,0.098158225,0.07125293,0.15254934132099152,2.930070400238037
12623,cluster_1,cluster_2,cluster_3,0.10248475,0.0878167,0.0708518,0.15254934132099152,2.930070400238037
12643,cluster_3,cluster_1,cluster_8,0.1357544,0.09770181,0.08348855,0.15254934132099152,2.930070400238037
1273,cluster_3,cluster_4,cluster_1,0.09645409,0.09455438,0.093138225,0.15254934132099152,2.930070400238037
12744,cluster_4,cluster_1,cluster_2,0.08751355,0.077756435,0.076713,0.15254934132099152,2.930070400238037
12755,cluster_3,cluster_1,cluster_4,0.11285699,0.097810425,0.087270595,0.15254934132099152,2.930070400238037
