Cell ID,Label 1,Label 2,Label 3,Probability 1,Probability 2,Probability 3,Test Accuracy,Test Loss
1023,cluster_2,cluster_1,cluster_5,0.11743401,0.08874071,0.08241101,0.156387060880661,2.934731960296631
10310,cluster_2,cluster_1,cluster_6,0.1361758,0.11939217,0.08367594,0.156387060880661,2.934731960296631
10367,cluster_2,cluster_1,cluster_11,0.22474608,0.080136895,0.066233,0.156387060880661,2.934731960296631
10379,cluster_3,cluster_6,cluster_1,0.1413843,0.1079202,0.096193604,0.156387060880661,2.934731960296631
10397,cluster_3,cluster_4,cluster_6,0.1077661,0.08839602,0.08419654,0.156387060880661,2.934731960296631
10445,cluster_3,cluster_6,cluster_4,0.10168651,0.094453774,0.08640495,0.156387060880661,2.934731960296631
10456,cluster_3,cluster_6,cluster_4,0.11123469,0.09819825,0.08783612,0.156387060880661,2.934731960296631
10479,cluster_17,cluster_2,cluster_9,0.15224208,0.13910538,0.102591336,0.156387060880661,2.934731960296631
10486,cluster_3,cluster_1,cluster_2,0.09437215,0.09341752,0.091141805,0.156387060880661,2.934731960296631
10563,cluster_2,cluster_1,cluster_6,0.13262805,0.10513838,0.072242424,0.156387060880661,2.934731960296631
10604,cluster_2,cluster_4,cluster_5,0.13632946,0.082318604,0.07535975,0.156387060880661,2.934731960296631
10766,cluster_4,cluster_2,cluster_6,0.10969266,0.100301936,0.0869713,0.156387060880661,2.934731960296631
10843,cluster_9,cluster_28,cluster_14,0.4562137,0.34722835,0.0552276,0.156387060880661,2.934731960296631
10911,cluster_9,cluster_2,cluster_5,0.35273626,0.08234021,0.073713824,0.156387060880661,2.934731960296631
10915,cluster_9,cluster_1,cluster_2,0.3003348,0.101780385,0.07086956,0.156387060880661,2.934731960296631
10926,cluster_3,cluster_5,cluster_1,0.1005737,0.09484329,0.08197304,0.156387060880661,2.934731960296631
10943,cluster_3,cluster_4,cluster_6,0.13112016,0.09371512,0.09291273,0.156387060880661,2.934731960296631
1098,cluster_2,cluster_1,cluster_11,0.22242449,0.093716554,0.071060814,0.156387060880661,2.934731960296631
11137,cluster_9,cluster_2,cluster_1,0.13486439,0.12588477,0.114199564,0.156387060880661,2.934731960296631
11147,cluster_2,cluster_1,cluster_12,0.19729155,0.11737994,0.062301695,0.156387060880661,2.934731960296631
11189,cluster_2,cluster_1,cluster_9,0.16135068,0.11067445,0.07613862,0.156387060880661,2.934731960296631
11237,cluster_2,cluster_1,cluster_4,0.18505704,0.095864505,0.069475755,0.156387060880661,2.934731960296631
11268,cluster_12,cluster_13,cluster_2,0.23191424,0.10246149,0.10242277,0.156387060880661,2.934731960296631
11271,cluster_2,cluster_1,cluster_12,0.14858726,0.107760735,0.071162686,0.156387060880661,2.934731960296631
11372,cluster_2,cluster_1,cluster_6,0.10221773,0.08507187,0.08442295,0.156387060880661,2.934731960296631
11425,cluster_2,cluster_1,cluster_12,0.18941988,0.112889126,0.07007002,0.156387060880661,2.934731960296631
11429,cluster_2,cluster_1,cluster_12,0.13407741,0.12657543,0.07889646,0.156387060880661,2.934731960296631
11476,cluster_3,cluster_6,cluster_5,0.1892145,0.0993583,0.09784107,0.156387060880661,2.934731960296631
11527,cluster_9,cluster_2,cluster_5,0.24340631,0.118702665,0.060743704,0.156387060880661,2.934731960296631
1157,cluster_3,cluster_5,cluster_2,0.10414171,0.09845372,0.08973579,0.156387060880661,2.934731960296631
11611,cluster_13,cluster_7,cluster_12,0.2172198,0.2111316,0.17608383,0.156387060880661,2.934731960296631
11755,cluster_2,cluster_1,cluster_4,0.19450407,0.08411756,0.06205223,0.156387060880661,2.934731960296631
11936,cluster_2,cluster_1,cluster_6,0.14391752,0.10365258,0.0922966,0.156387060880661,2.934731960296631
11955,cluster_2,cluster_1,cluster_6,0.17322177,0.09230248,0.08991886,0.156387060880661,2.934731960296631
1198,cluster_2,cluster_1,cluster_12,0.12951474,0.12449368,0.07623677,0.156387060880661,2.934731960296631
11994,cluster_3,cluster_6,cluster_1,0.1077466,0.09009631,0.082926355,0.156387060880661,2.934731960296631
11999,cluster_3,cluster_6,cluster_2,0.09364458,0.092799895,0.09088255,0.156387060880661,2.934731960296631
12053,cluster_13,cluster_12,cluster_17,0.25830674,0.16431633,0.07559469,0.156387060880661,2.934731960296631
1213,cluster_2,cluster_4,cluster_6,0.119396925,0.09384664,0.08424325,0.156387060880661,2.934731960296631
1215,cluster_2,cluster_1,cluster_5,0.14558135,0.10956949,0.07665579,0.156387060880661,2.934731960296631
12223,cluster_13,cluster_12,cluster_2,0.18755625,0.18002772,0.088406615,0.156387060880661,2.934731960296631
12240,cluster_1,cluster_2,cluster_3,0.09875023,0.09560967,0.09142635,0.156387060880661,2.934731960296631
12338,cluster_1,cluster_2,cluster_3,0.10706467,0.106381744,0.0932204,0.156387060880661,2.934731960296631
1247,cluster_2,cluster_1,cluster_12,0.13285093,0.11487878,0.07210323,0.156387060880661,2.934731960296631
12493,cluster_2,cluster_1,cluster_6,0.18532099,0.0903447,0.07443465,0.156387060880661,2.934731960296631
12506,cluster_2,cluster_4,cluster_1,0.12243192,0.08338627,0.08120294,0.156387060880661,2.934731960296631
12623,cluster_2,cluster_1,cluster_5,0.10072953,0.100027725,0.09228019,0.156387060880661,2.934731960296631
12643,cluster_3,cluster_1,cluster_5,0.14708436,0.09380879,0.090710774,0.156387060880661,2.934731960296631
1273,cluster_2,cluster_3,cluster_6,0.097211644,0.09696089,0.09620826,0.156387060880661,2.934731960296631
12744,cluster_3,cluster_4,cluster_6,0.100633025,0.08718671,0.07724893,0.156387060880661,2.934731960296631
12755,cluster_2,cluster_4,cluster_3,0.104053296,0.10162535,0.090260915,0.156387060880661,2.934731960296631
12810,cluster_2,cluster_4,cluster_1,0.156954,0.08961141,0.06168045,0.156387060880661,2.934731960296631
12857,cluster_2,cluster_1,cluster_4,0.15221697,0.08848385,0.08645112,0.156387060880661,2.934731960296631
12864,cluster_2,cluster_1,cluster_11,0.18931854,0.09595782,0.06823166,0.156387060880661,2.934731960296631
1287,cluster_2,cluster_1,cluster_9,0.16782258,0.10888461,0.06782752,0.156387060880661,2.934731960296631
12956,cluster_2,cluster_4,cluster_6,0.11791024,0.09461868,0.09208482,0.156387060880661,2.934731960296631
13035,cluster_2,cluster_1,cluster_6,0.17876133,0.10039496,0.06493867,0.156387060880661,2.934731960296631
13036,cluster_3,cluster_1,cluster_6,0.10927002,0.097185865,0.0940614,0.156387060880661,2.934731960296631
13057,cluster_3,cluster_6,cluster_1,0.122183345,0.10439695,0.09154493,0.156387060880661,2.934731960296631
13091,cluster_2,cluster_1,cluster_9,0.12925851,0.118080296,0.08882099,0.156387060880661,2.934731960296631
1312,cluster_2,cluster_1,cluster_6,0.17330305,0.09878948,0.075847015,0.156387060880661,2.934731960296631
13135,cluster_3,cluster_6,cluster_4,0.1105198,0.09665788,0.09265077,0.156387060880661,2.934731960296631
13380,cluster_2,cluster_4,cluster_6,0.13796274,0.09326587,0.08533488,0.156387060880661,2.934731960296631
13388,cluster_3,cluster_2,cluster_1,0.10441236,0.10324998,0.09630967,0.156387060880661,2.934731960296631
13428,cluster_3,cluster_5,cluster_6,0.13857947,0.099829525,0.08928001,0.156387060880661,2.934731960296631
13491,cluster_3,cluster_5,cluster_1,0.13143207,0.10074138,0.092131704,0.156387060880661,2.934731960296631
13543,cluster_5,cluster_2,cluster_3,0.097876556,0.093963474,0.08801019,0.156387060880661,2.934731960296631
13725,cluster_3,cluster_5,cluster_1,0.117087334,0.11192615,0.09455671,0.156387060880661,2.934731960296631
13776,cluster_3,cluster_5,cluster_1,0.1323061,0.097446054,0.08757781,0.156387060880661,2.934731960296631
13915,cluster_6,cluster_3,cluster_4,0.09831792,0.096523575,0.09008426,0.156387060880661,2.934731960296631
13997,cluster_3,cluster_6,cluster_4,0.16024044,0.10135139,0.0846258,0.156387060880661,2.934731960296631
14027,cluster_3,cluster_5,cluster_6,0.13258672,0.09686788,0.09107307,0.156387060880661,2.934731960296631
14038,cluster_3,cluster_8,cluster_6,0.15062293,0.098338835,0.08822485,0.156387060880661,2.934731960296631
14061,cluster_5,cluster_1,cluster_3,0.122690246,0.091176085,0.08425797,0.156387060880661,2.934731960296631
14111,cluster_2,cluster_1,cluster_5,0.17917557,0.11626285,0.06353401,0.156387060880661,2.934731960296631
14146,cluster_2,cluster_3,cluster_4,0.09723644,0.08389294,0.083546214,0.156387060880661,2.934731960296631
14156,cluster_3,cluster_6,cluster_8,0.096933216,0.08373488,0.07757628,0.156387060880661,2.934731960296631
1419,cluster_3,cluster_2,cluster_1,0.097774535,0.089687064,0.08694825,0.156387060880661,2.934731960296631
14228,cluster_3,cluster_1,cluster_6,0.12276475,0.08507399,0.08105108,0.156387060880661,2.934731960296631
14242,cluster_8,cluster_1,cluster_5,0.08497945,0.08366149,0.07837934,0.156387060880661,2.934731960296631
14255,cluster_12,cluster_13,cluster_8,0.13401504,0.114600144,0.07014072,0.156387060880661,2.934731960296631
14288,cluster_3,cluster_5,cluster_1,0.1609225,0.10447956,0.093884565,0.156387060880661,2.934731960296631
14349,cluster_12,cluster_2,cluster_1,0.17350581,0.09216177,0.071588226,0.156387060880661,2.934731960296631
14370,cluster_2,cluster_1,cluster_3,0.115881115,0.10277251,0.08701863,0.156387060880661,2.934731960296631
14385,cluster_3,cluster_6,cluster_2,0.10688935,0.08846772,0.07536328,0.156387060880661,2.934731960296631
1439,cluster_2,cluster_3,cluster_6,0.09906451,0.09475605,0.09013588,0.156387060880661,2.934731960296631
14411,cluster_3,cluster_5,cluster_1,0.12318838,0.107559584,0.09497101,0.156387060880661,2.934731960296631
14429,cluster_3,cluster_6,cluster_1,0.14096692,0.10702842,0.08593224,0.156387060880661,2.934731960296631
14509,cluster_13,cluster_12,cluster_7,0.24437276,0.16321681,0.075257905,0.156387060880661,2.934731960296631
14539,cluster_13,cluster_2,cluster_4,0.08758131,0.07534127,0.062848896,0.156387060880661,2.934731960296631
1474,cluster_12,cluster_2,cluster_1,0.09730389,0.094660394,0.07874252,0.156387060880661,2.934731960296631
14759,cluster_2,cluster_4,cluster_3,0.082116134,0.077849165,0.069775105,0.156387060880661,2.934731960296631
14865,cluster_2,cluster_1,cluster_4,0.08632764,0.08105459,0.080347545,0.156387060880661,2.934731960296631
14918,cluster_12,cluster_13,cluster_2,0.17604385,0.15559247,0.08279106,0.156387060880661,2.934731960296631
14928,cluster_13,cluster_12,cluster_7,0.2635616,0.15316741,0.090441294,0.156387060880661,2.934731960296631
15475,cluster_2,cluster_1,cluster_4,0.14075285,0.09139342,0.0890834,0.156387060880661,2.934731960296631
15821,cluster_13,cluster_12,cluster_17,0.18663771,0.12519729,0.08501298,0.156387060880661,2.934731960296631
1604,cluster_8,cluster_3,cluster_2,0.12084963,0.074089885,0.07384966,0.156387060880661,2.934731960296631
16135,cluster_13,cluster_17,cluster_2,0.1753662,0.16052158,0.09977389,0.156387060880661,2.934731960296631
16140,cluster_2,cluster_4,cluster_6,0.11831378,0.095489055,0.08933979,0.156387060880661,2.934731960296631
16231,cluster_2,cluster_4,cluster_1,0.102498434,0.09942639,0.07648495,0.156387060880661,2.934731960296631
16236,cluster_3,cluster_6,cluster_2,0.098840825,0.09154865,0.09126634,0.156387060880661,2.934731960296631
16266,cluster_3,cluster_6,cluster_5,0.13795714,0.103923604,0.0877314,0.156387060880661,2.934731960296631
16316,cluster_3,cluster_6,cluster_1,0.15782407,0.105686784,0.08468074,0.156387060880661,2.934731960296631
