Cell ID,Label 1,Label 2,Label 3,Probability 1,Probability 2,Probability 3,Test Accuracy,Test Loss
1023,cluster_3,cluster_1,cluster_6,0.21352117,0.18483053,0.15023503,0.16324013471603394,2.9502694606781006
10310,cluster_1,cluster_6,cluster_3,0.3054802,0.14261112,0.13224907,0.16324013471603394,2.9502694606781006
10367,cluster_1,cluster_8,cluster_3,0.2201692,0.11992432,0.11566372,0.16324013471603394,2.9502694606781006
10379,cluster_1,cluster_3,cluster_6,0.1835281,0.17773113,0.1700025,0.16324013471603394,2.9502694606781006
10397,cluster_1,cluster_5,cluster_3,0.17296293,0.09985552,0.07732345,0.16324013471603394,2.9502694606781006
10445,cluster_3,cluster_1,cluster_6,0.37052685,0.15087268,0.14699644,0.16324013471603394,2.9502694606781006
10456,cluster_3,cluster_6,cluster_1,0.23082437,0.1867068,0.10750081,0.16324013471603394,2.9502694606781006
10479,cluster_3,cluster_8,cluster_5,0.3640583,0.098738365,0.09362065,0.16324013471603394,2.9502694606781006
10486,cluster_3,cluster_6,cluster_1,0.20499194,0.17961536,0.1775211,0.16324013471603394,2.9502694606781006
10563,cluster_1,cluster_3,cluster_9,0.20921989,0.14153707,0.09738913,0.16324013471603394,2.9502694606781006
10604,cluster_1,cluster_3,cluster_6,0.21846534,0.11350485,0.060143482,0.16324013471603394,2.9502694606781006
10766,cluster_3,cluster_8,cluster_1,0.2582184,0.13907477,0.13035388,0.16324013471603394,2.9502694606781006
10843,cluster_28,cluster_9,cluster_15,0.45446557,0.3038154,0.046182875,0.16324013471603394,2.9502694606781006
10911,cluster_3,cluster_1,cluster_6,0.23132442,0.22035398,0.090316065,0.16324013471603394,2.9502694606781006
10915,cluster_3,cluster_1,cluster_5,0.3311144,0.17575248,0.11525595,0.16324013471603394,2.9502694606781006
10926,cluster_3,cluster_5,cluster_8,0.6221197,0.124228664,0.09651278,0.16324013471603394,2.9502694606781006
